WeatherDate,mw,AvgTmpF,HDD,CDD,CallSign
2021-01-01,91098.15899999999,34.88,30.13,0.0,BWI
2021-01-02,79773.75899999999,45.29,19.71,0.0,BWI
2021-01-03,86123.17199999999,38.79,26.21,0.0,BWI
2021-01-04,90411.331,39.29,25.71,0.0,BWI
2021-01-05,89502.34300000001,39.83,25.17,0.0,BWI
2021-01-06,92405.67100000002,39.46,25.54,0.0,BWI
2021-01-07,90276.428,38.71,26.29,0.0,BWI
2021-01-08,97903.58,32.67,32.33,0.0,BWI
2021-01-09,91464.033,36.17,28.83,0.0,BWI
2021-01-10,86684.74199999998,37.08,27.92,0.0,BWI
2021-01-11,97642.115,33.21,31.79,0.0,BWI
2021-01-12,94562.40400000001,34.25,30.75,0.0,BWI
2021-01-13,92448.058,35.75,29.25,0.0,BWI
2021-01-14,88944.348,38.54,26.46,0.0,BWI
2021-01-15,87314.04800000001,41.5,23.5,0.0,BWI
2021-01-16,81196.71500000001,40.83,24.17,0.0,BWI
2021-01-17,84495.72600000001,40.5,24.5,0.0,BWI
2021-01-18,88840.093,38.0,27.0,0.0,BWI
2021-01-19,90320.81700000001,38.79,26.21,0.0,BWI
2021-01-20,92058.82400000001,36.25,28.75,0.0,BWI
2021-01-21,92660.06000000001,36.25,28.75,0.0,BWI
2021-01-22,88813.19900000001,40.29,24.71,0.0,BWI
2021-01-23,94505.334,31.5,33.5,0.0,BWI
2021-01-24,96883.336,30.5,34.5,0.0,BWI
2021-01-25,97571.86399999999,33.75,31.25,0.0,BWI
2021-01-26,99667.15099999998,33.33,31.67,0.0,BWI
2021-01-27,92890.407,37.54,27.46,0.0,BWI
2021-01-28,101434.26000000002,31.33,33.67,0.0,BWI
2021-01-29,108612.55400000002,27.67,37.33,0.0,BWI
2021-01-30,96542.52200000001,29.54,35.46,0.0,BWI
2021-01-31,101796.13100000001,29.75,35.25,0.0,BWI
2021-02-01,105570.633,31.25,33.75,0.0,BWI
2021-02-02,103723.59100000001,32.5,32.5,0.0,BWI
2021-02-03,99933.78099999999,34.54,30.46,0.0,BWI
2021-02-04,94673.553,35.58,29.42,0.0,BWI
2021-02-05,85009.42000000001,43.58,21.42,0.0,BWI
2021-02-06,86225.44600000001,39.71,25.29,0.0,BWI
2021-02-07,90306.44399999999,36.08,28.92,0.0,BWI
2021-02-08,101012.016,28.5,36.5,0.0,BWI
2021-02-09,93014.872,37.46,27.54,0.0,BWI
2021-02-10,93408.901,34.79,30.21,0.0,BWI
2021-02-11,101265.77399999999,32.5,32.5,0.0,BWI
2021-02-12,103894.11499999998,28.58,36.42,0.0,BWI
2021-02-13,102931.997,28.75,36.25,0.0,BWI
2021-02-14,98940.54899999998,32.25,32.75,0.0,BWI
2021-02-15,96612.07400000001,35.67,29.33,0.0,BWI
2021-02-16,93959.60400000002,37.83,27.17,0.0,BWI
2021-02-17,101407.23,28.79,36.21,0.0,BWI
2021-02-18,107169.63399999999,28.25,36.75,0.0,BWI
2021-02-19,103490.808,32.29,32.71,0.0,BWI
2021-02-20,101603.663,28.25,36.75,0.0,BWI
2021-02-21,98247.30700000002,29.25,35.75,0.0,BWI
2021-02-22,102706.94499999999,33.25,31.75,0.0,BWI
2021-02-23,89794.63500000002,43.67,21.33,0.0,BWI
2021-02-24,82574.795,46.42,18.58,0.0,BWI
2021-02-25,79197.811,46.38,18.63,0.0,BWI
2021-02-26,83865.591,41.04,23.96,0.0,BWI
2021-02-27,81036.60199999998,42.42,22.58,0.0,BWI
2021-02-28,81536.31999999999,43.08,21.92,0.0,BWI
2021-03-01,85213.349,45.54,19.46,0.0,BWI
